Date_time,CO2_PPM,CO2_SD,H2O_PPM,H2O_SD,Tem_C
  02/17/2017 09:48:10.299,429.647,0,13063.6,0,22.7955
  02/17/2017 09:48:11.326,429.363,0,13051.4,0,22.8044
  02/17/2017 09:48:12.366,429.906,0,13009.8,0,22.8118
  02/17/2017 09:48:13.398,430.654,0,13233.1,0,22.8234
  02/17/2017 09:48:14.422,430.443,0,13258.3,0,22.8275
  02/17/2017 09:48:16.270,430.964,0,13233.8,0,22.8541
  02/17/2017 09:48:17.174,430.419,0,13257.2,0,22.8584
  02/17/2017 09:48:18.070,430.321,0,13243.6,0,22.8654
  02/17/2017 09:48:18.966,430.473,0,13321.3,0,22.8767
  02/17/2017 09:48:19.870,430.253,0,13278.5,0,22.8827
  02/17/2017 09:48:20.766,430.912,0,13264.4,0,22.8942
  02/17/2017 09:48:21.675,430.789,0,13236.2,0,22.8987
  02/17/2017 09:48:22.571,430.569,0,13199.8,0,22.9118
  02/17/2017 09:48:23.562,430.634,0,13230.2,0,22.9137
  02/17/2017 09:48:24.594,431.19,0,13217.8,0,22.922
  02/17/2017 09:48:25.627,430.833,0,13263.8,0,22.9292
  02/17/2017 09:48:26.655,430.914,0,13297.1,0,22.9354
  02/17/2017 09:48:27.687,430.784,0,13222.2,0,22.9465
  02/17/2017 09:48:28.714,430.908,0,13153.8,0,22.9527
  02/17/2017 09:48:29.738,430.331,0,13191.6,0,22.9637
  02/17/2017 09:48:31.570,430.405,0,13255.7,0,22.9868
  02/17/2017 09:48:32.470,430.76,0,13216.6,0,22.989
  02/17/2017 09:48:33.371,430.281,0,13262.1,0,23.0004
  02/17/2017 09:48:34.266,430.849,0,13252.9,0,23.0051
  02/17/2017 09:48:35.166,430.305,0,13235.8,0,23.0163
  02/17/2017 09:48:36.070,430.343,0,13309.4,0,23.0223
  02/17/2017 09:48:36.978,430.986,0,13264.9,0,23.0351
  02/17/2017 09:48:37.871,430.293,0,13316.9,0,23.0431
  02/17/2017 09:48:38.874,430.685,0,13246.3,0,23.0513
  02/17/2017 09:48:39.902,430.779,0,13331.5,0,23.061
  02/17/2017 09:48:40.926,430.577,0,13325.5,0,23.0661
  02/17/2017 09:48:41.954,430.573,0,13270.2,0,23.0775
  02/17/2017 09:48:42.987,430.898,0,13280.2,0,23.0819
  02/17/2017 09:48:44.018,430.693,0,13301,0,23.0908
  02/17/2017 09:48:45.054,430.296,0,13295.1,0,23.0952
  02/17/2017 09:48:46.866,430.556,0,13335.7,0,23.1198
  02/17/2017 09:48:47.766,430.278,0,13261.8,0,23.1294
  02/17/2017 09:48:48.666,430.263,0,13302.3,0,23.1357
  02/17/2017 09:48:49.566,430.464,0,13322.1,0,23.1482
  02/17/2017 09:48:50.466,430.612,0,13318.3,0,23.1535
  02/17/2017 09:48:51.366,430.691,0,13307.1,0,23.1642
  02/17/2017 09:48:52.274,430.255,0,13294,0,23.1729
  02/17/2017 09:48:53.171,430.317,0,13320.1,0,23.1802
  02/17/2017 09:48:54.187,430.366,0,13291.5,0,23.1895
  02/17/2017 09:48:55.219,430.407,0,13304,0,23.1936
  02/17/2017 09:48:56.251,430.297,0,13292.5,0,23.2078
  02/17/2017 09:48:57.282,430.451,0,13306.5,0,23.2152
  02/17/2017 09:48:58.314,430.89,0,13309.6,0,23.2276
  02/17/2017 09:48:59.346,430.576,0,13332,0,23.2374
  02/17/2017 09:49:01.270,430.635,0,13422,0,23.2631
  02/17/2017 09:49:02.166,430.776,0,13334.5,0,23.2709
  02/17/2017 09:49:03.066,430.89,0,13289.3,0,23.275
  02/17/2017 09:49:03.966,431.285,0,13358.9,0,23.2845
  02/17/2017 09:49:04.866,432.38,0,13287.7,0,23.2931
  02/17/2017 09:49:05.771,432.109,0,13165.8,0,23.2999
  02/17/2017 09:49:06.670,432.001,0,13144.9,0,23.3104
  02/17/2017 09:49:07.574,432.468,0,13232.3,0,23.3179
  02/17/2017 09:49:08.538,432.509,0,13353.7,0,23.3304
  02/17/2017 09:49:09.567,431.088,0,13376.7,0,23.336
  02/17/2017 09:49:10.590,430.884,0,13331.2,0,23.3468
  02/17/2017 09:49:11.622,431.302,0,13341.6,0,23.3556
  02/17/2017 09:49:12.654,431.183,0,13326.7,0,23.3615
  02/17/2017 09:49:13.683,431.91,0,13381.5,0,23.3727
  02/17/2017 09:49:14.707,432.179,0,13332.9,0,23.3772
  02/17/2017 09:49:16.566,432.953,0,13360.4,0,23.4057
  02/17/2017 09:49:17.467,432.318,0,13400.1,0,23.4114
  02/17/2017 09:49:18.366,431.775,0,13411.6,0,23.4183
  02/17/2017 09:49:19.266,430.718,0,13364.1,0,23.431
  02/17/2017 09:49:20.170,430.274,0,13464.8,0,23.4348
  02/17/2017 09:49:21.070,430.008,0,13444.4,0,23.4451
  02/17/2017 09:49:21.966,430.942,0,13435.4,0,23.4488
  02/17/2017 09:49:22.883,430.799,0,13398.4,0,23.4594
  02/17/2017 09:49:23.830,430.466,0,13366.6,0,23.4651
  02/17/2017 09:49:24.862,430.703,0,13308.6,0,23.4687
  02/17/2017 09:49:25.894,430.742,0,13327.8,0,23.479
  02/17/2017 09:49:26.930,430.676,0,13331.9,0,23.4816
  02/17/2017 09:49:27.959,430.501,0,13397,0,23.4914
  02/17/2017 09:49:28.987,430.166,0,13375,0,23.4941
  02/17/2017 09:49:30.010,430.525,0,13406.7,0,23.5013
  02/17/2017 09:49:31.866,430.457,0,13348.9,0,23.5287
  02/17/2017 09:49:32.770,430.63,0,13272.1,0,23.5314
  02/17/2017 09:49:33.670,430.865,0,13293.7,0,23.5409
  02/17/2017 09:49:34.570,429.97,0,13366.6,0,23.5469
  02/17/2017 09:49:35.470,430.606,0,13297.4,0,23.554
  02/17/2017 09:49:36.366,430.481,0,13364,0,23.5627
  02/17/2017 09:49:37.266,430.508,0,13399.3,0,23.5651
  02/17/2017 09:49:38.174,430.821,0,13425.5,0,23.5774
  02/17/2017 09:49:39.135,430.9,0,13433.4,0,23.5787
  02/17/2017 09:49:40.167,430.257,0,13402.2,0,23.5881
  02/17/2017 09:49:41.214,432.019,0,13331.7,0,23.5945
  02/17/2017 09:49:42.250,430.791,0,12762.5,0,23.6021
  02/17/2017 09:49:43.283,429.922,0,12676.4,0,23.6137
  02/17/2017 09:49:44.310,430.326,0,12602.9,0,23.6177
  02/17/2017 09:49:45.342,430.694,0,12670.8,0,23.6287
  02/17/2017 09:49:47.166,431.584,0,13171.5,0,23.6478
  02/17/2017 09:49:48.066,431.303,0,13357.5,0,23.6479
  02/17/2017 09:49:48.970,430.689,0,13350.9,0,23.6573
  02/17/2017 09:49:49.871,431.578,0,13324.2,0,23.6605
  02/17/2017 09:49:50.770,431.238,0,12820.9,0,23.6704
  02/17/2017 09:49:51.666,430.126,0,12723.6,0,23.6749
  02/17/2017 09:49:52.570,429.445,0,12976.5,0,23.6795
  02/17/2017 09:49:53.471,429.368,0,12942.7,0,23.6915
  02/17/2017 09:49:54.478,429.408,0,13016.5,0,23.6921
  02/17/2017 09:49:55.502,429.787,0,12953.9,0,23.7034
  02/17/2017 09:49:56.530,429.349,0,12874.3,0,23.7056
  02/17/2017 09:49:57.562,429.482,0,12963,0,23.7105
  02/17/2017 09:49:58.594,430.079,0,13105.1,0,23.7182
  02/17/2017 09:49:59.619,430.566,0,13302,0,23.7221
